structure,mixingenergy
O96Ag1Ru43Nb1Ni3,-7.805
O96Ag1Ru43Tc2Ti2,-3.176
O96Ag1Ru44Cd2V1,-8.259
O96Ag1Ru44Ge2Ti1,-2.139
O96Ag1Ru44Sb2Tc1,-4.481
O96Ag1Ru44Y1Sc2,-7.465
O96Ag1Ru44Zr3,-2.196
O96Ag1Ru45Nb1Ga1,-4.296
O96Ag1Ru45Sn2,-2.410
O96Ag1Ru46Tc1,-3.328
O96Au1Ru43Ag1Rh3,-4.253
O96Au1Ru43La3Rh1,-5.307
O96Au1Ru43Mo2Cu2,-6.422
O96Au1Ru43Tl3Ag1,-6.969
O96Au1Ru43W3Fe1,-8.127
O96Au1Ru45Ir2,-1.822
O96Au1Ru45Pb1Ag1,-1.061
O96Au1Ru46Co1,-2.916
O96Au1Ru46Rh1,-1.613
O96Bi1Ru43Ge1Mn3,-5.031
O96Bi1Ru43Nb1Ga3,-6.512
O96Bi1Ru43Po3Cd1,-7.968
O96Bi1Ru43Re1Y3,-11.733
O96Bi1Ru44Nb2Ni1,-5.239
O96Bi1Ru44Re2Tc1,-6.486
O96Bi1Ru45Ta2,-5.978
O96Bi1Ru46Ir1,-3.266
O96Bi1Ru46Pb1,-4.732
O96Cd1Ru43Pd1Sc3,-9.243
O96Cd1Ru43Sn1Rh3,-4.315
O96Cd1Ru43Tc3Zn1,-6.772
O96Cd1Ru44Ga1Ni2,-6.394
O96Cd1Ru44Sb1Zn2,-8.399
O96Cd1Ru44Tc3,-5.256
O96Cd1Ru45Ag1Zr1,-5.224
O96Cd1Ru45Pd2,-5.178
O96Cd1Ru45Y1Zn1,-8.974
O96Cd1Ru46In1,-5.642
O96Co1Ru41Cr3V3,-2.740
O96Co1Ru42Cd3Mo2,-10.313
O96Co1Ru42Y2Zn3,-15.156
O96Co1Ru43In2Pd2,-6.136
O96Co1Ru43Pd3Cr1,-3.307
O96Co1Ru43Zn1Fe3,-4.782
O96Co1Ru44Ni1Cr2,-2.296
O96Co1Ru44Y3,-6.155
O96Co1Ru45Ni2,-4.268
O96Co1Ru46Pd1,-1.677
O96Cr1Ru41Ag3Ga3,-6.867
O96Cr1Ru41In3Zr3,-5.820
O96Cr1Ru41Tc3Nb3,-3.737
O96Cr1Ru41Tc3Ni3,-5.281
O96Cr1Ru42In3Cd2,-10.188
O96Cr1Ru42Rh2Tc3,-2.105
O96Cr1Ru43Cd3Tc1,-7.576
O96Cr1Ru43Mn1V3,-2.397
O96Cr1Ru43Tc2Zn2,-6.353
O96Cr1Ru44Co3,-2.355
O96Cu1Ru41Nb3Mn3,-7.598
O96Cu1Ru41Sb3V3,-6.173
O96Cu1Ru42Cd3Zr2,-11.111
O96Cu1Ru42Pd2Mo3,-5.942
O96Cu1Ru43Ag2Ga2,-6.899
O96Cu1Ru43Pd3Ga1,-4.771
O96Cu1Ru43Ti1Sc3,-7.298
O96Cu1Ru44Ni1Sc2,-6.011
O96Cu1Ru45Sb1Mn1,-4.602
O96Cu1Ru46In1,-4.712
O96Fe1Ru41In3Y3,-12.463
O96Fe1Ru41Sn3Cu3,-5.797
O96Fe1Ru43Ga3Ti1,-3.923
O96Fe1Ru43In3Zr1,-5.668
O96Fe1Ru43Tc2V2,-2.634
O96Fe1Ru44Ga1Ni2,-4.533
O96Fe1Ru44Sn1Ga2,-4.362
O96Fe1Ru45Pd1Y1,-3.500
O96Fe1Ru45Sn1Zr1,-1.137
O96Fe1Ru46Ga1,-2.169
O96Ga1Ru41Cd3Zr3,-9.988
O96Ga1Ru41Sn3V3,-3.684
O96Ga1Ru42Co3Ti2,-4.165
O96Ga1Ru42Rh3Ni2,-5.020
O96Ga1Ru43In3Mn1,-9.313
O96Ga1Ru43Pd3Ti1,-3.734
O96Ga1Ru43Sn3Ag1,-2.776
O96Ga1Ru44In1V2,-6.251
O96Ga1Ru45Rh2,-2.409
O96Ga1Ru45Zn2,-7.755
O96Ge1Ru41Ag3Co3,-5.320
O96Ge1Ru41In3V3,-8.436
O96Ge1Ru42Ga3Fe2,-4.445
O96Ge1Ru43Cd1Ga3,-5.723
O96Ge1Ru43Ni1Co3,-4.632
